,freeze,Tracesample,buffer#,finefreeze,wc,Seconds,SecondsofDayNoPPS,TimeStampsNoPPS
3852,142171758,25,0,36395970176,36395969932,9.629999999560823e-05,76100.04381652501,0 days 21:08:20.043817
3853,142171758,25,0,36395970176,36395969933,9.632499995859689e-05,76100.04381655001,0 days 21:08:20.043817
3854,142171758,25,0,36395970176,36395969934,9.635000003527239e-05,76100.04381657501,0 days 21:08:20.043817
3855,142171758,25,0,36395970176,36395969935,9.637499999826105e-05,76100.04381660001,0 days 21:08:20.043817
3856,142171758,25,0,36395970176,36395969936,9.63999999612497e-05,76100.04381662501,0 days 21:08:20.043817
3857,142171758,25,0,36395970176,36395969937,9.64250000379252e-05,76100.04381665001,0 days 21:08:20.043817
3858,142171758,25,0,36395970176,36395969938,9.645000000091386e-05,76100.04381667501,0 days 21:08:20.043817
3859,142171758,25,0,36395970176,36395969939,9.647499996390252e-05,76100.04381670001,0 days 21:08:20.043817
3860,142171758,25,0,36395970176,36395969940,9.650000004057802e-05,76100.04381672501,0 days 21:08:20.043817
3861,142171758,25,0,36395970176,36395969941,9.652500000356667e-05,76100.04381675001,0 days 21:08:20.043817
3862,142171758,25,0,36395970176,36395969942,9.654999996655533e-05,76100.04381677501,0 days 21:08:20.043817
3863,142171758,25,0,36395970176,36395969943,9.657500004323083e-05,76100.04381680001,0 days 21:08:20.043817
3864,142171758,25,0,36395970176,36395969944,9.660000000621949e-05,76100.04381682501,0 days 21:08:20.043817
3865,142171758,25,0,36395970176,36395969945,9.662499996920815e-05,76100.04381685,0 days 21:08:20.043817
3866,142171758,25,0,36395970176,36395969946,9.665000004588364e-05,76100.043816875,0 days 21:08:20.043817
3867,142171758,25,0,36395970176,36395969947,9.66750000088723e-05,76100.0438169,0 days 21:08:20.043817
3868,142171758,25,0,36395970176,36395969948,9.669999997186096e-05,76100.043816925,0 days 21:08:20.043817
3869,142171758,25,0,36395970176,36395969949,9.672500004853646e-05,76100.04381695,0 days 21:08:20.043817
3870,142171758,25,0,36395970176,36395969950,9.675000001152512e-05,76100.043816975,0 days 21:08:20.043817
3871,142171758,25,0,36395970176,36395969951,9.677499997451378e-05,76100.043817,0 days 21:08:20.043817
3872,142171758,25,0,36395970176,36395969952,9.680000005118927e-05,76100.043817025,0 days 21:08:20.043817
3873,142171758,25,0,36395970176,36395969953,9.682500001417793e-05,76100.04381705,0 days 21:08:20.043817
3874,142171758,25,0,36395970176,36395969954,9.684999997716659e-05,76100.043817075,0 days 21:08:20.043817
3875,142171758,25,0,36395970176,36395969955,9.687500005384209e-05,76100.0438171,0 days 21:08:20.043817
3876,142171758,25,0,36395970176,36395969956,9.690000001683075e-05,76100.043817125,0 days 21:08:20.043817
3877,142171758,25,0,36395970176,36395969957,9.69249999798194e-05,76100.04381715,0 days 21:08:20.043817
3878,142171758,25,0,36395970176,36395969958,9.69500000564949e-05,76100.043817175,0 days 21:08:20.043817
