# Relative_Time(µs) Energy(keV)
17.270660	191.262000
18.462753	70.029000
19.654846	484.430000
21.323776	955.055000
23.231125	1904.588000
45.880890	534.128000
47.549820	386.791000
50.887680	629.508000
54.225540	2063.220000
55.894470	1314.738000
58.040237	312.244000
103.101349	393.317000
135.526276	2995.183000
161.275482	628.002000
162.944412	848.631000
164.613342	10893.902000
167.474365	472.633000
229.224777	202.808000
230.893707	214.354000
232.324219	106.926000
271.663284	223.390000
274.524307	767.307000
276.908493	811.232000
278.815842	454.310000
294.313049	142.568000
