KeV,Counts
5376,0
5378,4
5380,1
5382,2
5384,0
5386,1
5388,1
5390,2
5392,2
5394,2
5396,1
5398,4
5400,4
5402,3
5404,2
5406,0
5408,4
5410,3
5412,2
5414,2
5416,2
5418,1
5420,0
5422,3
5424,0
5426,4
5428,3
5430,2
5432,1
5434,2
5436,3
5438,1
5440,2
5442,5
5444,2
5446,3
5448,2
5450,2
5452,4
5454,5
5456,1
5458,1
5460,1
5462,1
5464,5
5466,2
5468,2
5470,1
5472,1
5474,1
5476,0
5478,4
5480,5
5482,0
5484,1
5486,5
5488,2
5490,2
5492,4
5494,2
5496,1
5498,2
5500,3
5502,0
5504,2
5506,1
5508,5
5510,2
5512,4
5514,5
5516,4
5518,1
5520,1
5522,1
5524,1
5526,1
5528,1
5530,3
5532,3
5534,3
5536,1
5538,1
5540,1
5542,0
5544,0
5546,3
5548,4
5550,6
5552,1
5554,0
5556,2
5558,3
5560,0
5562,2
5564,5
5566,3
5568,0
5570,4
5572,1
5574,3
5576,0
5578,1
5580,0
5582,5
5584,1
5586,2
5588,1
5590,2
5592,2
5594,1
5596,2
5598,0
5600,1
5602,3
5604,2
5606,3
5608,3
5610,1
5612,2
5614,0
5616,3
5618,1
5620,4
5622,3
5624,1
5626,1
5628,0
5630,4
5632,1
5634,2
5636,0
5638,1
5640,5
5642,1
5644,1
5646,1
5648,1
5650,1
5652,1
5654,1
5656,2
5658,4
5660,2
5662,1
5664,2
5666,3
5668,1
5670,1
5672,1
5674,2
5676,2
5678,1
5680,3
5682,5
5684,0
5686,3
5688,4
5690,1
5692,1
5694,3
5696,5
5698,3
5700,3
5702,4
5704,1
5706,4
5708,5
5710,2
5712,2
5714,0
5716,4
5718,1
5720,0
5722,1
5724,3
5726,1
5728,1
5730,2
5732,3
5734,1
5736,3
5738,0
5740,6
5742,2
5744,4
5746,2
5748,2
5750,3
5752,3
5754,1
5756,4
5758,0
5760,1
5762,1
5764,4
5766,2
5768,3
5770,2
5772,4
5774,1
5776,2
5778,1
5780,1
5782,1
5784,1
5786,2
5788,2
5790,0
5792,0
5794,2
5796,2
5798,2
5800,0
5802,4
5804,0
5806,4
5808,1
5810,4
5812,1
5814,5
5816,3
5818,1
5820,2
5822,0
5824,1
5826,2
5828,0
5830,2
5832,3
5834,1
5836,1
5838,0
5840,0
5842,4
5844,2
5846,2
5848,2
5850,1
5852,2
5854,2
5856,2
5858,0
5860,1
5862,2
5864,5
5866,2
5868,3
5870,1
5872,4
5874,3
5876,0
5878,0
5880,0
5882,3
5884,2
5886,0
5888,4
5890,1
5892,0
5894,2
5896,1
5898,1
5900,1
5902,2
5904,3
5906,3
5908,2
5910,1
5912,1
5914,1
5916,0
5918,3
5920,0
5922,2
5924,2
5926,0
5928,1
5930,1
5932,3
5934,2
5936,5
5938,0
5940,2
5942,3
5944,1
5946,0
5948,3
5950,4
5952,0
5954,3
5956,2
5958,1
5960,2
5962,0
5964,3
5966,0
5968,0
5970,2
5972,0
5974,3
5976,0
5978,2
5980,0
5982,3
5984,1
5986,1
5988,5
5990,0
5992,0
5994,1
5996,3
5998,1
6000,1
6002,3
6004,4
6006,0
6008,0
6010,2
6012,0
6014,3
6016,0
6018,1
6020,1
6022,2
6024,1
6026,1
6028,1
6030,3
6032,0
6034,0
6036,4
6038,1
6040,1
6042,2
6044,3
6046,0
6048,1
6050,1
6052,0
6054,2
6056,3
6058,4
6060,1
6062,3
6064,1
6066,0
6068,3
6070,2
6072,1
6074,1
6076,0
6078,2
6080,5
6082,1
6084,4
6086,1
6088,1
6090,3
6092,2
6094,4
6096,3
6098,2
6100,1
6102,4
6104,1
6106,3
6108,2
6110,3
6112,1
6114,1
6116,5
6118,3
6120,2
6122,0
6124,2
6126,2
6128,3
6130,3
6132,0
6134,0
6136,0
6138,2
6140,3
6142,2
6144,0
6146,4
6148,2
6150,5
6152,2
6154,4
6156,2
6158,4
6160,1
6162,1
6164,1
6166,2
6168,3
6170,1
6172,2
6174,1
6176,2
6178,1
6180,1
6182,2
6184,1
6186,2
6188,2
6190,0
6192,4
6194,0
6196,5
6198,2
6200,0
6202,4
6204,2
6206,2
6208,1
6210,4
6212,0
6214,3
6216,1
6218,1
6220,3
6222,4
6224,3
6226,3
6228,1
6230,4
6232,2
6234,1
6236,3
6238,1
6240,1
6242,2
6244,1
6246,2
6248,1
6250,0
6252,1
6254,3
6256,0
6258,2
6260,2
6262,1
6264,0
6266,1
6268,2
6270,2
6272,4
6274,0
6276,4
6278,2
6280,2
6282,0
6284,0
6286,0
6288,1
6290,1
6292,1
6294,2
6296,1
6298,0
6300,2
6302,2
6304,2
6306,0
6308,1
6310,2
6312,0
6314,0
6316,1
6318,3
6320,0
6322,6
6324,0
6326,4
6328,1
6330,2
6332,2
6334,3
6336,2
6338,3
6340,2
6342,1
6344,3
6346,1
6348,4
6350,1
6352,1
6354,3
6356,3
6358,3
6360,1
6362,0
6364,2
6366,0
6368,2
6370,2
6372,2
6374,1
6376,1
6378,5
6380,2
6382,5
6384,3
6386,1
6388,2
6390,2
6392,1
6394,3
6396,3
6398,0
6400,2
6402,3
6404,1
6406,1
6408,3
6410,2
6412,1
6414,1
6416,1
6418,4
6420,4
6422,0
6424,2
6426,3
6428,2
6430,1
6432,0
6434,4
6436,4
6438,3
6440,2
6442,2
6444,0
6446,1
6448,2
6450,2
6452,3
6454,5
6456,1
6458,3
6460,4
6462,1
6464,0
6466,0
6468,3
6470,1
6472,0
6474,0
6476,5
6478,1
6480,5
6482,1
6484,0
6486,1
6488,0
6490,1
6492,0
6494,2
6496,1
6498,1
6500,2
6502,3
6504,1
6506,3
6508,5
6510,1
6512,1
6514,2
6516,2
6518,2
6520,2
6522,4
6524,2
6526,1
6528,3
6530,3
6532,2
6534,2
6536,2
6538,0
6540,1
6542,2
6544,4
6546,0
6548,6
6550,0
6552,3
6554,2
6556,4
6558,8
6560,5
6562,0
6564,1
6566,2
6568,4
6570,1
6572,3
6574,2
6576,2
6578,1
6580,0
6582,3
6584,1
6586,1
6588,4
6590,3
6592,4
6594,2
6596,3
6598,2
6600,3
6602,3
6604,3
6606,0
6608,0
6610,2
6612,1
6614,3
6616,1
6618,0
6620,2
6622,2
6624,2
6626,0
6628,2
6630,2
6632,0
6634,4
6636,1
6638,1
6640,1
6642,4
6644,2
6646,0
6648,0
6650,2
6652,3
6654,3
6656,2
6658,3
6660,0
6662,2
6664,3
6666,4
6668,3
6670,1
6672,1
6674,5
6676,2
6678,2
6680,4
6682,2
6684,1
6686,0
6688,2
6690,4
6692,1
6694,2
6696,2
6698,1
6700,0
6702,0
6704,1
6706,3
6708,3
6710,2
6712,2
6714,5
6716,2
6718,1
6720,1
6722,1
6724,3
6726,2
6728,0
6730,3
6732,4
6734,3
6736,3
6738,6
6740,2
6742,1
6744,2
6746,1
6748,3
6750,3
6752,2
6754,3
6756,4
6758,2
6760,2
6762,3
6764,0
6766,2
6768,5
6770,1
6772,2
6774,3
6776,2
6778,2
6780,3
6782,4
6784,2
6786,1
6788,5
6790,7
6792,3
6794,3
6796,1
6798,2
6800,2
6802,1
6804,2
6806,1
6808,0
6810,2
6812,2
6814,2
6816,2
6818,2
6820,2
6822,1
6824,4
6826,6
6828,2
6830,1
6832,2
6834,2
6836,3
6838,1
6840,2
6842,1
6844,2
6846,0
6848,1
6850,1
6852,1
6854,0
6856,6
6858,4
6860,1
6862,1
6864,2
6866,3
6868,3
6870,1
6872,1
6874,3
6876,4
6878,4
6880,2
6882,6
6884,2
6886,1
6888,4
6890,3
6892,2
6894,1
6896,2
6898,0
6900,2
6902,1
6904,4
6906,3
6908,1
6910,4
6912,2
6914,4
6916,5
6918,3
6920,3
6922,3
6924,1
6926,1
6928,1
6930,1
6932,1
6934,2
6936,4
6938,1
6940,4
6942,0
6944,3
6946,2
6948,3
6950,1
6952,1
6954,2
6956,5
6958,1
6960,1
6962,0
6964,2
6966,2
6968,2
6970,1
6972,1
6974,4
6976,2
6978,2
6980,2
6982,4
6984,3
6986,6
6988,3
6990,3
6992,3
6994,2
6996,4
6998,2
7000,3
7002,2
7004,5
7006,1
7008,2
7010,3
7012,1
7014,2
7016,2
7018,3
7020,2
7022,3
7024,3
7026,1
7028,0
7030,4
7032,2
7034,1
7036,4
7038,3
7040,2
7042,2
7044,0
7046,1
7048,1
7050,1
7052,1
7054,4
7056,0
7058,0
7060,2
7062,2
7064,3
7066,2
7068,4
7070,3
7072,2
7074,2
7076,3
7078,2
7080,6
7082,3
7084,0
7086,2
7088,3
7090,0
7092,2
7094,2
7096,1
7098,1
7100,1
7102,4
7104,3
7106,4
7108,2
7110,0
7112,0
7114,3
7116,3
7118,1
7120,2
7122,4
7124,5
7126,2
7128,3
7130,3
7132,1
7134,2
7136,2
7138,3
7140,2
7142,0
7144,2
7146,2
7148,4
7150,2
7152,2
7154,3
7156,4
7158,2
7160,1
7162,1
7164,3
7166,0
7168,2
7170,3
7172,2
7174,3
7176,3
7178,0
7180,2
7182,1
7184,3
7186,3
7188,2
7190,1
7192,1
7194,1
7196,7
7198,1
7200,1
7202,0
7204,2
7206,4
7208,1
7210,1
7212,5
7214,4
7216,0
7218,2
7220,2
7222,1
7224,3
7226,2
7228,6
7230,3
7232,0
7234,5
7236,4
7238,2
7240,1
7242,5
7244,0
7246,3
7248,1
7250,2
7252,2
7254,2
7256,3
7258,2
7260,1
7262,7
7264,1
7266,0
7268,1
7270,3
7272,2
7274,1
7276,1
7278,1
7280,2
7282,6
7284,1
7286,6
7288,3
7290,0
7292,2
7294,4
7296,0
7298,4
7300,2
7302,4
7304,1
7306,7
7308,3
7310,3
7312,1
7314,1
7316,2
7318,1
7320,1
7322,6
7324,1
7326,3
7328,1
7330,3
7332,3
7334,2
7336,6
7338,4
7340,2
7342,0
7344,5
7346,5
7348,3
7350,2
7352,2
7354,1
7356,4
7358,6
7360,1
7362,2
7364,5
7366,3
7368,0
7370,2
7372,2
7374,3
7376,2
7378,1
7380,1
7382,4
7384,2
7386,6
7388,3
7390,0
7392,4
7394,3
7396,1
7398,4
7400,5
7402,3
7404,3
7406,2
7408,3
7410,2
7412,0
7414,2
7416,0
7418,4
7420,3
7422,5
7424,4
7426,4
7428,2
7430,3
7432,4
7434,4
7436,2
7438,3
7440,6
7442,1
7444,3
7446,3
7448,2
7450,2
7452,4
7454,0
7456,4
7458,4
7460,3
7462,2
7464,1
7466,1
7468,1
7470,2
7472,4
7474,1
7476,3
7478,4
7480,0
7482,3
7484,1
7486,2
7488,3
7490,1
7492,0
7494,3
7496,1
7498,3
7500,2
7502,2
7504,2
7506,0
7508,2
7510,3
7512,4
7514,2
7516,1
7518,1
7520,2
7522,2
7524,3
7526,3
7528,1
7530,2
7532,3
7534,4
7536,3
7538,1
7540,3
7542,3
7544,3
7546,3
7548,3
7550,1
7552,2
7554,2
7556,1
7558,0
7560,1
7562,3
7564,7
7566,0
7568,6
7570,1
7572,1
7574,2
7576,2
7578,4
7580,3
7582,0
7584,1
7586,5
7588,0
7590,3
7592,3
7594,3
7596,0
7598,3
7600,1
7602,4
7604,0
7606,2
7608,3
7610,2
7612,5
7614,1
7616,2
7618,1
7620,4
7622,3
7624,1
7626,5
7628,0
7630,1
7632,2
7634,2
7636,5
7638,2
7640,3
7642,2
7644,7
7646,2
7648,6
7650,4
7652,5
7654,3
7656,1
7658,1
7660,3
7662,2
7664,2
7666,4
7668,5
7670,3
7672,3
7674,3
7676,3
7678,1
7680,0
7682,4
7684,0
7686,2
7688,5
7690,0
7692,5
7694,3
7696,0
7698,1
7700,4
7702,4
7704,3
7706,1
7708,2
7710,4
7712,1
7714,2
7716,3
7718,2
7720,5
7722,2
7724,2
7726,4
7728,3
7730,1
7732,5
7734,4
7736,5
7738,2
7740,3
7742,1
7744,2
7746,1
7748,5
7750,2
7752,2
7754,2
7756,4
7758,1
7760,4
7762,5
7764,3
7766,0
7768,4
7770,4
7772,2
7774,11
7776,4
7778,5
7780,4
7782,3
7784,1
7786,6
7788,3
7790,1
7792,3
7794,2
7796,2
7798,2
7800,3
7802,3
7804,3
7806,2
7808,1
7810,2
7812,3
7814,3
7816,3
7818,5
7820,0
7822,3
7824,4
7826,3
7828,3
7830,4
7832,5
7834,0
7836,4
7838,1
7840,3
7842,1
7844,6
7846,1
7848,4
7850,3
7852,1
7854,2
7856,3
7858,1
7860,0
7862,2
7864,4
7866,1
7868,3
7870,8
7872,5
7874,3
7876,1
7878,1
7880,2
7882,5
7884,2
7886,4
7888,2
7890,1
7892,1
7894,3
7896,3
7898,2
7900,2
7902,1
7904,1
7906,5
7908,8
7910,5
7912,1
7914,2
7916,2
7918,1
7920,2
7922,4
7924,4
7926,3
7928,1
7930,2
7932,2
7934,1
7936,6
7938,5
7940,5
7942,2
7944,5
7946,3
7948,3
7950,3
7952,2
7954,3
7956,3
7958,2
7960,3
7962,0
7964,0
7966,4
7968,5
7970,4
7972,3
7974,1
7976,2
7978,6
7980,1
7982,3
7984,6
7986,1
7988,6
7990,4
7992,2
7994,4
7996,5
7998,3
8000,2
8002,3
8004,3
8006,5
8008,2
8010,0
8012,2
8014,0
8016,5
8018,1
8020,0
8022,1
8024,3
8026,0
8028,2
8030,6
8032,0
8034,3
8036,4
8038,4
8040,3
8042,2
8044,1
8046,0
8048,2
8050,4
8052,4
8054,3
8056,3
8058,2
8060,3
8062,3
8064,2
8066,5
8068,5
8070,5
8072,4
8074,2
8076,2
8078,5
8080,1
8082,2
8084,4
8086,3
8088,1
8090,1
8092,4
8094,2
8096,2
8098,3
8100,3
8102,1
8104,2
8106,3
8108,2
8110,3
8112,3
8114,3
8116,4
8118,1
8120,5
8122,1
8124,3
8126,3
8128,1
8130,3
8132,4
8134,3
8136,3
8138,2
8140,3
8142,4
8144,4
8146,5
8148,4
8150,2
8152,2
8154,2
8156,1
8158,2
8160,0
8162,5
8164,2
8166,2
8168,1
8170,4
8172,2
8174,0
8176,4
8178,3
8180,3
8182,0
8184,4
8186,2
8188,3
8190,15224
