KeV,Counts
1222,8566
1224,8643
1226,8554
1228,8703
1230,8412
1232,8679
1234,8246
1236,8625
1238,8443
1240,8393
1242,8500
1244,8209
1246,8115
1248,8333
1250,8257
1252,8136
1254,8074
1256,7972
1258,8049
1260,8062
1262,7804
1264,8001
1266,8025
1268,7882
1270,7633
1272,7648
1274,7817
1276,7614
1278,7669
1280,7521
1282,7514
1284,7606
1286,7483
1288,7384
1290,7391
1292,7146
1294,7320
1296,7038
1298,7160
1300,7008
1302,6965
1304,6831
1306,6680
1308,6690
1310,6844
1312,6953
1314,6886
1316,6861
1318,6684
1320,6647
1322,6726
1324,6553
1326,6619
1328,6410
1330,6512
1332,6309
1334,6348
1336,6264
1338,6262
1340,6323
1342,6113
1344,6154
1346,6214
1348,6041
1350,6029
1352,6036
1354,6031
1356,5978
1358,5891
1360,5784
1362,5871
1364,5882
1366,5754
1368,5722
1370,5578
1372,5788
1374,5690
1376,5566
1378,5718
1380,5532
1382,5587
1384,5449
1386,5821
1388,5417
1390,5529
1392,5477
1394,5327
1396,5375
1398,5406
1400,5361
1402,5423
1404,5255
1406,5376
1408,5290
1410,5193
1412,5105
1414,5150
1416,5167
1418,5153
1420,5090
1422,5201
1424,5159
1426,5217
1428,4981
1430,5089
1432,5069
1434,4987
1436,5143
1438,5042
1440,5013
1442,4789
1444,4866
1446,4802
1448,4802
1450,4844
1452,4735
1454,4795
1456,4861
1458,4741
1460,4842
1462,4771
1464,4819
1466,4654
1468,4693
1470,4698
1472,4736
1474,4667
1476,4611
1478,4544
1480,4734
1482,4531
1484,4407
1486,4580
1488,4428
1490,4529
1492,4405
1494,4490
1496,4437
1498,4397
1500,4461
1502,4475
1504,4466
1506,4357
1508,4425
1510,4363
1512,4358
1514,4271
1516,4272
1518,4231
1520,4363
1522,4196
1524,4101
1526,4093
1528,4256
1530,4200
1532,4107
1534,4279
1536,4096
1538,4039
1540,4084
1542,4021
1544,4118
1546,4118
1548,4044
1550,3959
1552,3865
1554,3921
1556,3921
1558,3889
1560,3746
1562,3917
1564,3745
1566,3756
1568,3729
1570,3696
1572,3670
1574,3669
1576,3759
1578,3606
1580,3549
1582,3505
1584,3522
1586,3588
1588,3424
1590,3525
1592,3373
1594,3457
1596,3464
1598,3318
1600,3392
1602,3352
1604,3353
1606,3376
1608,3161
1610,3204
1612,3248
1614,3288
1616,3198
1618,3025
1620,3106
1622,3076
1624,2937
1626,2973
1628,2954
1630,2945
1632,2834
1634,2855
1636,2785
1638,2743
1640,2844
1642,2765
1644,2815
1646,2711
1648,2695
1650,2771
1652,2676
1654,2589
1656,2728
1658,2516
1660,2592
1662,2556
1664,2586
1666,2523
1668,2501
1670,2437
1672,2555
1674,2498
1676,2515
1678,2571
1680,2480
1682,2394
1684,2446
1686,2525
1688,2508
1690,2358
1692,2355
1694,2434
1696,2422
