,sparse_dt,dense_dt,sparse_mem,dense_mem,error
1000,0.3005843162536621,1.1950373649597168,168.19140625,165.2109375,0.0
2000,0.5646717548370361,9.17655348777771,180.8828125,224.52734375,1.0
4000,0.7003724575042725,93.2994122505188,190.11328125,408.37109375,1.0
8000,1.2731201648712158,660.3980295658112,243.6484375,1139.99609375,1.0
16000,3.563699722290039,5484.014960050583,400.7890625,4069.78125,1.0
32000,12.242082118988035,0.0,663.51171875,0.0,1.0
64000,21.189922332763672,0.0,1176.66796875,0.0,1.0
128000,31.12561869621277,0.0,2211.8828125,0.0,1.0
