,dt0,dt1,sparse_mem,dense_mem,error
1000,0.0063714981079101,42.69121170043945,289.8203125,185.84375,0.0
2000,0.0082881450653076,88.65332269668579,423.59765625,246.1640625,0.0
4000,0.0091564655303955,269.2511417865753,687.875,429.21875,0.0
8000,0.0113534927368164,1747.3837869167328,1193.58984375,1161.5234375,0.0
16000,0.0214202404022216,2906.449269771576,2307.140625,4091.15625,1.0
